SUID,BEND_MAP_ID,cluster1_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
942,198,-2.680884129,,interacts with,Haemophilus (interacts with) Klebsiella,false,interacts with,Haemophilus (interacts with) Klebsiella,
943,197,0.6430315622,,interacts with,Haemophilus (interacts with) Veillonella,false,interacts with,Haemophilus (interacts with) Veillonella,
944,196,12.4750417164,,interacts with,Haemophilus (interacts with) Streptococcus,false,interacts with,Haemophilus (interacts with) Streptococcus,
945,195,2.2627879876,,interacts with,Haemophilus (interacts with) Rothia,false,interacts with,Haemophilus (interacts with) Rothia,
946,194,-0.1304487724,,interacts with,Haemophilus (interacts with) Prevotella,false,interacts with,Haemophilus (interacts with) Prevotella,
947,193,2.8667654039,,interacts with,Haemophilus (interacts with) Porphyromonas,false,interacts with,Haemophilus (interacts with) Porphyromonas,
948,192,5.0416057211,,interacts with,Haemophilus (interacts with) Neisseria,false,interacts with,Haemophilus (interacts with) Neisseria,
949,191,1.3928888969,,interacts with,Haemophilus (interacts with) Leptotrichia,false,interacts with,Haemophilus (interacts with) Leptotrichia,
950,190,2.6095320658,,interacts with,Haemophilus (interacts with) Granulicatella,false,interacts with,Haemophilus (interacts with) Granulicatella,
951,189,1.0947233464,,interacts with,Haemophilus (interacts with) Gemella,false,interacts with,Haemophilus (interacts with) Gemella,
952,188,1.4566400926,,interacts with,Haemophilus (interacts with) Fusobacterium,false,interacts with,Haemophilus (interacts with) Fusobacterium,
953,187,0.8088956661,,interacts with,Haemophilus (interacts with) Actinomyces,false,interacts with,Haemophilus (interacts with) Actinomyces,
954,186,1.068726116,,interacts with,Haemophilus (interacts with) Actinobacillus,false,interacts with,Haemophilus (interacts with) Actinobacillus,
955,185,-0.2484802748,,interacts with,Granulicatella (interacts with) PIV3,false,interacts with,Granulicatella (interacts with) PIV3,
956,183,1.4735076808,,interacts with,Granulicatella (interacts with) Saccharomyces,false,interacts with,Granulicatella (interacts with) Saccharomyces,
957,182,-1.2402525112,,interacts with,Granulicatella (interacts with) Cryptococcus,false,interacts with,Granulicatella (interacts with) Cryptococcus,
958,181,2.2492104614,,interacts with,Granulicatella (interacts with) Candida,false,interacts with,Granulicatella (interacts with) Candida,
959,180,-1.6622662609,-1,interacts with,Granulicatella (interacts with) Pseudomonas,true,interacts with,Granulicatella (interacts with) Pseudomonas,
960,179,8.0392835779,,interacts with,Granulicatella (interacts with) Veillonella,false,interacts with,Granulicatella (interacts with) Veillonella,
961,178,5.5196207193,,interacts with,Granulicatella (interacts with) Streptococcus,false,interacts with,Granulicatella (interacts with) Streptococcus,
962,177,8.8692211209,,interacts with,Granulicatella (interacts with) Rothia,false,interacts with,Granulicatella (interacts with) Rothia,
963,176,8.2142728075,,interacts with,Granulicatella (interacts with) Prevotella,false,interacts with,Granulicatella (interacts with) Prevotella,
964,175,6.6964194673,,interacts with,Granulicatella (interacts with) Porphyromonas,false,interacts with,Granulicatella (interacts with) Porphyromonas,
965,174,8.4917717301,,interacts with,Granulicatella (interacts with) Neisseria,false,interacts with,Granulicatella (interacts with) Neisseria,
966,173,9.3400095555,,interacts with,Granulicatella (interacts with) Leptotrichia,false,interacts with,Granulicatella (interacts with) Leptotrichia,
967,172,2.6095320658,,interacts with,Granulicatella (interacts with) Haemophilus,false,interacts with,Granulicatella (interacts with) Haemophilus,
968,171,19.6287584616,,interacts with,Granulicatella (interacts with) Gemella,false,interacts with,Granulicatella (interacts with) Gemella,
969,170,6.756531382,,interacts with,Granulicatella (interacts with) Fusobacterium,false,interacts with,Granulicatella (interacts with) Fusobacterium,
970,169,10.1587514018,,interacts with,Granulicatella (interacts with) Actinomyces,false,interacts with,Granulicatella (interacts with) Actinomyces,
971,168,3.0714465379,,interacts with,Granulicatella (interacts with) Actinobacillus,false,interacts with,Granulicatella (interacts with) Actinobacillus,
972,167,-1.8945338373,,interacts with,Gemella (interacts with) RV,false,interacts with,Gemella (interacts with) RV,
973,166,0.759394838,,interacts with,Gemella (interacts with) PIV3,false,interacts with,Gemella (interacts with) PIV3,
974,164,3.1080215937,,interacts with,Gemella (interacts with) Penicillium,false,interacts with,Gemella (interacts with) Penicillium,
975,163,-0.6720036015,,interacts with,Gemella (interacts with) Cryptococcus,false,interacts with,Gemella (interacts with) Cryptococcus,
976,162,3.9235509389,,interacts with,Gemella (interacts with) Aspergillus,false,interacts with,Gemella (interacts with) Aspergillus,
977,161,-0.706990941,-1,interacts with,Gemella (interacts with) Pseudomonas,true,interacts with,Gemella (interacts with) Pseudomonas,
978,160,1.5439575315,,interacts with,Gemella (interacts with) Klebsiella,false,interacts with,Gemella (interacts with) Klebsiella,
979,159,5.0507981235,,interacts with,Gemella (interacts with) Veillonella,false,interacts with,Gemella (interacts with) Veillonella,
980,158,15.6652072287,,interacts with,Gemella (interacts with) Streptococcus,false,interacts with,Gemella (interacts with) Streptococcus,
981,157,7.8330983439,,interacts with,Gemella (interacts with) Rothia,false,interacts with,Gemella (interacts with) Rothia,
982,156,4.5309121057,,interacts with,Gemella (interacts with) Prevotella,false,interacts with,Gemella (interacts with) Prevotella,
983,155,8.9433874266,,interacts with,Gemella (interacts with) Porphyromonas,false,interacts with,Gemella (interacts with) Porphyromonas,
984,154,19.2469433236,,interacts with,Gemella (interacts with) Neisseria,false,interacts with,Gemella (interacts with) Neisseria,
985,153,8.6964087071,,interacts with,Gemella (interacts with) Leptotrichia,false,interacts with,Gemella (interacts with) Leptotrichia,
986,152,1.0947233464,,interacts with,Gemella (interacts with) Haemophilus,false,interacts with,Gemella (interacts with) Haemophilus,
987,151,19.6287584616,,interacts with,Gemella (interacts with) Granulicatella,false,interacts with,Gemella (interacts with) Granulicatella,
988,150,7.072654476,,interacts with,Gemella (interacts with) Fusobacterium,false,interacts with,Gemella (interacts with) Fusobacterium,
989,149,7.7265946778,,interacts with,Gemella (interacts with) Actinomyces,false,interacts with,Gemella (interacts with) Actinomyces,
990,148,15.3211273436,,interacts with,Gemella (interacts with) Actinobacillus,false,interacts with,Gemella (interacts with) Actinobacillus,
991,147,-1.4370435263,,interacts with,Fusobacterium (interacts with) RV,false,interacts with,Fusobacterium (interacts with) RV,
992,146,0.6058141204,,interacts with,Fusobacterium (interacts with) PIV3,false,interacts with,Fusobacterium (interacts with) PIV3,
993,144,2.8634208954,,interacts with,Fusobacterium (interacts with) Saccharomyces,false,interacts with,Fusobacterium (interacts with) Saccharomyces,
994,143,0.5223084849,,interacts with,Fusobacterium (interacts with) Penicillium,false,interacts with,Fusobacterium (interacts with) Penicillium,
995,142,-1.8800608434,,interacts with,Fusobacterium (interacts with) Cryptococcus,false,interacts with,Fusobacterium (interacts with) Cryptococcus,
996,141,4.8635908118,,interacts with,Fusobacterium (interacts with) Candida,false,interacts with,Fusobacterium (interacts with) Candida,
997,140,2.1180221763,,interacts with,Fusobacterium (interacts with) Aspergillus,false,interacts with,Fusobacterium (interacts with) Aspergillus,
998,139,-0.8141437851,-1,interacts with,Fusobacterium (interacts with) Pseudomonas,true,interacts with,Fusobacterium (interacts with) Pseudomonas,
999,138,-0.8148974288,,interacts with,Fusobacterium (interacts with) Moraxella,false,interacts with,Fusobacterium (interacts with) Moraxella,
1000,137,7.7466997815,,interacts with,Fusobacterium (interacts with) Veillonella,false,interacts with,Fusobacterium (interacts with) Veillonella,
1001,136,1.9342743469,,interacts with,Fusobacterium (interacts with) Streptococcus,false,interacts with,Fusobacterium (interacts with) Streptococcus,
1002,135,4.6027984611,,interacts with,Fusobacterium (interacts with) Rothia,false,interacts with,Fusobacterium (interacts with) Rothia,
1003,134,17.2637977812,,interacts with,Fusobacterium (interacts with) Prevotella,false,interacts with,Fusobacterium (interacts with) Prevotella,
