SUID,cluster2_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
108,0.0337377221,,interacts with,PIV3 (interacts with) Aspergillus,false,interacts with,PIV3 (interacts with) Aspergillus,
109,3.7934724334,1,interacts with,PIV3 (interacts with) Pseudomonas,true,interacts with,PIV3 (interacts with) Pseudomonas,
110,1.5507152541,,interacts with,PIV3 (interacts with) Moraxella,false,interacts with,PIV3 (interacts with) Moraxella,
111,1.1052054982,,interacts with,PIV3 (interacts with) Klebsiella,false,interacts with,PIV3 (interacts with) Klebsiella,
112,-0.2544208473,,interacts with,PIV3 (interacts with) Veillonella,false,interacts with,PIV3 (interacts with) Veillonella,
113,1.9595791817,,interacts with,PIV3 (interacts with) Streptococcus,false,interacts with,PIV3 (interacts with) Streptococcus,
114,2.0443870052,,interacts with,PIV3 (interacts with) Rothia,false,interacts with,PIV3 (interacts with) Rothia,
115,-1.2192138891,,interacts with,PIV3 (interacts with) Prevotella,false,interacts with,PIV3 (interacts with) Prevotella,
116,-2.2927994523,,interacts with,PIV3 (interacts with) Porphyromonas,false,interacts with,PIV3 (interacts with) Porphyromonas,
117,0.5222567979,,interacts with,PIV3 (interacts with) Neisseria,false,interacts with,PIV3 (interacts with) Neisseria,
118,-1.0979742305,,interacts with,PIV3 (interacts with) Leptotrichia,false,interacts with,PIV3 (interacts with) Leptotrichia,
119,-2.0580073531,,interacts with,PIV3 (interacts with) Haemophilus,false,interacts with,PIV3 (interacts with) Haemophilus,
120,-1.6029855195,,interacts with,PIV3 (interacts with) Granulicatella,false,interacts with,PIV3 (interacts with) Granulicatella,
121,-2.2088779829,,interacts with,PIV3 (interacts with) Actinomyces,false,interacts with,PIV3 (interacts with) Actinomyces,
122,2.8836531723,,interacts with,PIV3 (interacts with) Actinobacillus,false,interacts with,PIV3 (interacts with) Actinobacillus,
123,-2.1606875815,,interacts with,Saccharomyces (interacts with) RV,false,interacts with,Saccharomyces (interacts with) RV,
124,2.2966157093,,interacts with,Saccharomyces (interacts with) PIV3,false,interacts with,Saccharomyces (interacts with) PIV3,
125,3.1815352892,,interacts with,Saccharomyces (interacts with) Penicillium,false,interacts with,Saccharomyces (interacts with) Penicillium,
126,4.8688306114,,interacts with,Saccharomyces (interacts with) Cryptococcus,false,interacts with,Saccharomyces (interacts with) Cryptococcus,
127,9.9278941416,,interacts with,Saccharomyces (interacts with) Candida,false,interacts with,Saccharomyces (interacts with) Candida,
128,-1.5936473574,,interacts with,Saccharomyces (interacts with) Aspergillus,false,interacts with,Saccharomyces (interacts with) Aspergillus,
129,-1.3116862934,-1,interacts with,Saccharomyces (interacts with) Pseudomonas,true,interacts with,Saccharomyces (interacts with) Pseudomonas,
130,-0.695014684,,interacts with,Saccharomyces (interacts with) Moraxella,false,interacts with,Saccharomyces (interacts with) Moraxella,
131,-1.2234144207,,interacts with,Saccharomyces (interacts with) Veillonella,false,interacts with,Saccharomyces (interacts with) Veillonella,
132,8.6936268558,,interacts with,Saccharomyces (interacts with) Streptococcus,false,interacts with,Saccharomyces (interacts with) Streptococcus,
133,0.0865334822,,interacts with,Saccharomyces (interacts with) Rothia,false,interacts with,Saccharomyces (interacts with) Rothia,
134,2.0726833688,,interacts with,Saccharomyces (interacts with) Prevotella,false,interacts with,Saccharomyces (interacts with) Prevotella,
135,-2.5155550545,,interacts with,Saccharomyces (interacts with) Porphyromonas,false,interacts with,Saccharomyces (interacts with) Porphyromonas,
136,10.6049172707,,interacts with,Saccharomyces (interacts with) Leptotrichia,false,interacts with,Saccharomyces (interacts with) Leptotrichia,
137,6.3070512191,,interacts with,Saccharomyces (interacts with) Haemophilus,false,interacts with,Saccharomyces (interacts with) Haemophilus,
138,13.2555478618,,interacts with,Saccharomyces (interacts with) Granulicatella,false,interacts with,Saccharomyces (interacts with) Granulicatella,
139,1.2608436464,,interacts with,Saccharomyces (interacts with) Gemella,false,interacts with,Saccharomyces (interacts with) Gemella,
140,-2.0613657935,,interacts with,Saccharomyces (interacts with) Fusobacterium,false,interacts with,Saccharomyces (interacts with) Fusobacterium,
141,3.581676568,,interacts with,Saccharomyces (interacts with) Actinomyces,false,interacts with,Saccharomyces (interacts with) Actinomyces,
142,-1.9100413829,,interacts with,Saccharomyces (interacts with) Actinobacillus,false,interacts with,Saccharomyces (interacts with) Actinobacillus,
143,3.9145094099,,interacts with,Penicillium (interacts with) RV,false,interacts with,Penicillium (interacts with) RV,
144,-2.7286909685,,interacts with,Penicillium (interacts with) PIV3,false,interacts with,Penicillium (interacts with) PIV3,
145,3.1815352892,,interacts with,Penicillium (interacts with) Saccharomyces,false,interacts with,Penicillium (interacts with) Saccharomyces,
