"SUID","BEND_MAP_ID","cluster1_Adj_cyto.csv","EdgeBetweenness","inter","interaction","name","selected","shared interaction","shared name"
"1503","1503","2.3536825714987","1.13392857","1","interacts with","Neisseria (interacts with) PIV3","false","interacts with","Neisseria (interacts with) PIV3"
"1504","1504","7.07980812105617","1.05","1","interacts with","Neisseria (interacts with) unidentified","false","interacts with","Neisseria (interacts with) unidentified"
"1505","1505","4.80090181371118","1.37747432","1","interacts with","Neisseria (interacts with) Saccharomyces","false","interacts with","Neisseria (interacts with) Saccharomyces"
"1506","1506","0.835771850107464","1.32741327","1","interacts with","Neisseria (interacts with) Penicillium","false","interacts with","Neisseria (interacts with) Penicillium"
"1507","1507","-1.0557710888654899","1.0625","-1","interacts with","Neisseria (interacts with) Cryptococcus","false","interacts with","Neisseria (interacts with) Cryptococcus"
"1508","1508","9.51740920730887","1.1716792","1","interacts with","Neisseria (interacts with) Candida","false","interacts with","Neisseria (interacts with) Candida"
"1509","1509","9.7216586721878","1.47559524","1","interacts with","Neisseria (interacts with) Aspergillus","false","interacts with","Neisseria (interacts with) Aspergillus"
"1510","1510","0.772966720122238","1.0","1","interacts with","Neisseria (interacts with) Pseudomonas","false","interacts with","Neisseria (interacts with) Pseudomonas"
"1511","1511","1.08810684924034","1.43777473","1","interacts with","Neisseria (interacts with) Moraxella","false","interacts with","Neisseria (interacts with) Moraxella"
"1512","1512","-1.22404464778634","1.31914099","-1","interacts with","Neisseria (interacts with) Klebsiella","false","interacts with","Neisseria (interacts with) Klebsiella"
"1513","1513","3.8189523305405197","1.125","1","interacts with","Neisseria (interacts with) Veillonella","false","interacts with","Neisseria (interacts with) Veillonella"
"1514","1514","6.753694291532691","1.12406015","1","interacts with","Neisseria (interacts with) Streptococcus","false","interacts with","Neisseria (interacts with) Streptococcus"
"1515","1515","23.4414594342065","1.11904762","1","interacts with","Neisseria (interacts with) Rothia","false","interacts with","Neisseria (interacts with) Rothia"
"1516","1516","7.98698666616584","1.18392857","1","interacts with","Neisseria (interacts with) Prevotella","false","interacts with","Neisseria (interacts with) Prevotella"
"1517","1517","8.90114243056391","1.1927521","1","interacts with","Neisseria (interacts with) Porphyromonas","false","interacts with","Neisseria (interacts with) Porphyromonas"
"1518","1518","8.328744129742299","1.0","1","interacts with","Neisseria (interacts with) Leptotrichia","false","interacts with","Neisseria (interacts with) Leptotrichia"
"1519","1519","5.04160572108111","1.12698413","1","interacts with","Neisseria (interacts with) Haemophilus","false","interacts with","Neisseria (interacts with) Haemophilus"
"1520","1520","8.49177173011023","1.25465686","1","interacts with","Neisseria (interacts with) Granulicatella","false","interacts with","Neisseria (interacts with) Granulicatella"
"1521","1521","19.246943323575","1.25798872","1","interacts with","Neisseria (interacts with) Gemella","false","interacts with","Neisseria (interacts with) Gemella"
