"SUID","BEND_MAP_ID","cluster2_Adj_cyto.csv","EdgeBetweenness","inter","interaction","name","selected","shared interaction","shared name"
"1836","1836","-7.3575243591707","1.0","-1","interacts with","Haemophilus (interacts with) Prevotella","false","interacts with","Haemophilus (interacts with) Prevotella"
"1837","1837","-6.964600355993269","1.15882353","-1","interacts with","Haemophilus (interacts with) Rothia","false","interacts with","Haemophilus (interacts with) Rothia"
"1838","1838","20.5252431593695","1.04545455","1","interacts with","Haemophilus (interacts with) Streptococcus","false","interacts with","Haemophilus (interacts with) Streptococcus"
"1839","1839","-13.8045343752053","1.0","-1","interacts with","Haemophilus (interacts with) Veillonella","false","interacts with","Haemophilus (interacts with) Veillonella"
"1840","1840","-3.8830262262626998","1.04761905","-1","interacts with","Haemophilus (interacts with) Klebsiella","false","interacts with","Haemophilus (interacts with) Klebsiella"
"1841","1841","-1.8589610023093501","1.1031746","-1","interacts with","Haemophilus (interacts with) Moraxella","false","interacts with","Haemophilus (interacts with) Moraxella"
"1842","1842","2.96409259451253","1.22624269","1","interacts with","Haemophilus (interacts with) Pseudomonas","false","interacts with","Haemophilus (interacts with) Pseudomonas"
"1843","1843","10.0281792228297","1.04761905","1","interacts with","Haemophilus (interacts with) Aspergillus","false","interacts with","Haemophilus (interacts with) Aspergillus"
"1844","1844","8.90095507185215","1.05263158","1","interacts with","Haemophilus (interacts with) Candida","false","interacts with","Haemophilus (interacts with) Candida"
"1845","1845","7.45924624380134","1.0","1","interacts with","Haemophilus (interacts with) Cryptococcus","false","interacts with","Haemophilus (interacts with) Cryptococcus"
"1846","1846","5.13333840680242","1.04761905","1","interacts with","Haemophilus (interacts with) Penicillium","false","interacts with","Haemophilus (interacts with) Penicillium"
"1847","1847","6.30705121907991","1.0952381","1","interacts with","Haemophilus (interacts with) Saccharomyces","false","interacts with","Haemophilus (interacts with) Saccharomyces"
"1848","1848","2.24140190564954","1.0","1","interacts with","Haemophilus (interacts with) unidentified","false","interacts with","Haemophilus (interacts with) unidentified"
"1849","1849","-5.517106096050821","1.09761905","-1","interacts with","Haemophilus (interacts with) PIV3","false","interacts with","Haemophilus (interacts with) PIV3"
"1850","1850","0.584833606807295","1.22331871","1","interacts with","Haemophilus (interacts with) RV","false","interacts with","Haemophilus (interacts with) RV"
"1851","1851","8.49235844292811","1.04545455","1","interacts with","Leptotrichia (interacts with) Actinobacillus","false","interacts with","Leptotrichia (interacts with) Actinobacillus"
"1852","1852","15.373701628740802","1.05263158","1","interacts with","Leptotrichia (interacts with) Actinomyces","false","interacts with","Leptotrichia (interacts with) Actinomyces"
"1853","1853","18.394619198399898","1.04761905","1","interacts with","Leptotrichia (interacts with) Fusobacterium","false","interacts with","Leptotrichia (interacts with) Fusobacterium"
"1854","1854","20.3551442030518","1.10555556","1","interacts with","Leptotrichia (interacts with) Gemella","false","interacts with","Leptotrichia (interacts with) Gemella"
"1855","1855","1.71203826467795","1.05263158","1","interacts with","Leptotrichia (interacts with) Granulicatella","false","interacts with","Leptotrichia (interacts with) Granulicatella"
"1856","1856","-6.365266130725731","1.0","-1","interacts with","Leptotrichia (interacts with) Haemophilus","false","interacts with","Leptotrichia (interacts with) Haemophilus"
"1857","1857","21.124601711982","1.04761905","1","interacts with","Leptotrichia (interacts with) Neisseria","false","interacts with","Leptotrichia (interacts with) Neisseria"
"1858","1858","29.293265381666604","1.0","1","interacts with","Leptotrichia (interacts with) Porphyromonas","false","interacts with","Leptotrichia (interacts with) Porphyromonas"
"1859","1859","29.3622466650466","1.0","1","interacts with","Leptotrichia (interacts with) Prevotella","false","interacts with","Leptotrichia (interacts with) Prevotella"
"1860","1860","1.02195295057625","1.15882353","1","interacts with","Leptotrichia (interacts with) Rothia","false","interacts with","Leptotrichia (interacts with) Rothia"
"1861","1861","-1.65515986352355","1.04545455","-1","interacts with","Leptotrichia (interacts with) Streptococcus","false","interacts with","Leptotrichia (interacts with) Streptococcus"
"1862","1862","11.326106532605","1.0","1","interacts with","Leptotrichia (interacts with) Veillonella","false","interacts with","Leptotrichia (interacts with) Veillonella"
"1863","1863","6.2048129235015095","1.04761905","1","interacts with","Leptotrichia (interacts with) Klebsiella","false","interacts with","Leptotrichia (interacts with) Klebsiella"
"1864","1864","1.1113321984125701","1.1031746","1","interacts with","Leptotrichia (interacts with) Moraxella","false","interacts with","Leptotrichia (interacts with) Moraxella"
"1865","1865","2.50222051217877","1.22624269","1","interacts with","Leptotrichia (interacts with) Pseudomonas","false","interacts with","Leptotrichia (interacts with) Pseudomonas"
"1866","1866","6.459796666936799","1.04761905","1","interacts with","Leptotrichia (interacts with) Aspergillus","false","interacts with","Leptotrichia (interacts with) Aspergillus"
"1867","1867","-0.0677786989372974","1.05263158","-1","interacts with","Leptotrichia (interacts with) Candida","false","interacts with","Leptotrichia (interacts with) Candida"
"1868","1868","-4.53647665373505","1.0","-1","interacts with","Leptotrichia (interacts with) Cryptococcus","false","interacts with","Leptotrichia (interacts with) Cryptococcus"
"1869","1869","-2.77332245149787","1.04761905","-1","interacts with","Leptotrichia (interacts with) Penicillium","false","interacts with","Leptotrichia (interacts with) Penicillium"
"1870","1870","10.667749501235301","1.0952381","1","interacts with","Leptotrichia (interacts with) Saccharomyces","false","interacts with","Leptotrichia (interacts with) Saccharomyces"
"1871","1871","-0.679392572525043","1.0","-1","interacts with","Leptotrichia (interacts with) unidentified","false","interacts with","Leptotrichia (interacts with) unidentified"
"1872","1872","-1.09797423048655","1.09761905","-1","interacts with","Leptotrichia (interacts with) PIV3","false","interacts with","Leptotrichia (interacts with) PIV3"
"1873","1873","-0.444910271834682","1.22331871","-1","interacts with","Leptotrichia (interacts with) RV","false","interacts with","Leptotrichia (interacts with) RV"
"1874","1874","5.31862062387492","1.09307359","1","interacts with","Neisseria (interacts with) Actinobacillus","false","interacts with","Neisseria (interacts with) Actinobacillus"
"1875","1875","6.58708419115034","1.10025063","1","interacts with","Neisseria (interacts with) Actinomyces","false","interacts with","Neisseria (interacts with) Actinomyces"
"1876","1876","11.196099029092698","1.0952381","1","interacts with","Neisseria (interacts with) Fusobacterium","false","interacts with","Neisseria (interacts with) Fusobacterium"
"1877","1877","7.358264882807491","1.1531746","1","interacts with","Neisseria (interacts with) Gemella","false","interacts with","Neisseria (interacts with) Gemella"
"1878","1878","3.1874180688612097","1.10025063","1","interacts with","Neisseria (interacts with) Granulicatella","false","interacts with","Neisseria (interacts with) Granulicatella"
"1879","1879","-3.42112335193299","1.04761905","-1","interacts with","Neisseria (interacts with) Haemophilus","false","interacts with","Neisseria (interacts with) Haemophilus"
"1880","1880","20.814470102382604","1.04761905","1","interacts with","Neisseria (interacts with) Leptotrichia","false","interacts with","Neisseria (interacts with) Leptotrichia"
"1881","1881","9.95813180869269","1.04761905","1","interacts with","Neisseria (interacts with) Porphyromonas","false","interacts with","Neisseria (interacts with) Porphyromonas"
"1882","1882","8.12237196182663","1.04761905","1","interacts with","Neisseria (interacts with) Prevotella","false","interacts with","Neisseria (interacts with) Prevotella"
"1883","1883","2.36753387506919","1.20644258","1","interacts with","Neisseria (interacts with) Rothia","false","interacts with","Neisseria (interacts with) Rothia"
"1884","1884","-2.20326574412144","1.09307359","-1","interacts with","Neisseria (interacts with) Streptococcus","false","interacts with","Neisseria (interacts with) Streptococcus"
"1885","1885","8.24327618173237","1.04761905","1","interacts with","Neisseria (interacts with) Veillonella","false","interacts with","Neisseria (interacts with) Veillonella"
"1886","1886","2.93412038502307","1.0","1","interacts with","Neisseria (interacts with) Klebsiella","false","interacts with","Neisseria (interacts with) Klebsiella"
"1887","1887","0.692244355956413","1.15079365","1","interacts with","Neisseria (interacts with) Moraxella","false","interacts with","Neisseria (interacts with) Moraxella"
"1888","1888","5.285983000907519","1.27386174","1","interacts with","Neisseria (interacts with) Pseudomonas","false","interacts with","Neisseria (interacts with) Pseudomonas"
"1889","1889","3.59303466864125","1.0952381","1","interacts with","Neisseria (interacts with) Aspergillus","false","interacts with","Neisseria (interacts with) Aspergillus"
"1890","1890","0.781835384514545","1.10025063","1","interacts with","Neisseria (interacts with) Candida","false","interacts with","Neisseria (interacts with) Candida"
"1891","1891","-4.16657112267452","1.04761905","-1","interacts with","Neisseria (interacts with) Cryptococcus","false","interacts with","Neisseria (interacts with) Cryptococcus"
"1892","1892","-0.745493429695332","1.0952381","-1","interacts with","Neisseria (interacts with) Penicillium","false","interacts with","Neisseria (interacts with) Penicillium"
"1893","1893","0.7005245871658771","1.04761905","1","interacts with","Neisseria (interacts with) unidentified","false","interacts with","Neisseria (interacts with) unidentified"
"1894","1894","0.5222567978736079","1.1452381","1","interacts with","Neisseria (interacts with) PIV3","false","interacts with","Neisseria (interacts with) PIV3"
"1895","1895","3.71071809180607","1.27093776","1","interacts with","Neisseria (interacts with) RV","false","interacts with","Neisseria (interacts with) RV"
"1896","1896","7.5053832687423006","1.04545455","1","interacts with","Porphyromonas (interacts with) Actinobacillus","false","interacts with","Porphyromonas (interacts with) Actinobacillus"
"1897","1897","7.68341373098279","1.05263158","1","interacts with","Porphyromonas (interacts with) Actinomyces","false","interacts with","Porphyromonas (interacts with) Actinomyces"
"1898","1898","28.457690930394698","1.04761905","1","interacts with","Porphyromonas (interacts with) Fusobacterium","false","interacts with","Porphyromonas (interacts with) Fusobacterium"
"1899","1899","8.07121728792697","1.10555556","1","interacts with","Porphyromonas (interacts with) Gemella","false","interacts with","Porphyromonas (interacts with) Gemella"
"1900","1900","2.1118603611496396","1.05263158","1","interacts with","Porphyromonas (interacts with) Granulicatella","false","interacts with","Porphyromonas (interacts with) Granulicatella"
"1901","1901","-5.43995888037977","1.0","-1","interacts with","Porphyromonas (interacts with) Haemophilus","false","interacts with","Porphyromonas (interacts with) Haemophilus"
"1902","1902","27.8124076491715","1.0","1","interacts with","Porphyromonas (interacts with) Leptotrichia","false","interacts with","Porphyromonas (interacts with) Leptotrichia"
"1903","1903","9.95813180869269","1.04761905","1","interacts with","Porphyromonas (interacts with) Neisseria","false","interacts with","Porphyromonas (interacts with) Neisseria"
"1904","1904","11.233593264525002","1.0","1","interacts with","Porphyromonas (interacts with) Prevotella","false","interacts with","Porphyromonas (interacts with) Prevotella"
"1905","1905","1.4561967513235","1.15882353","1","interacts with","Porphyromonas (interacts with) Rothia","false","interacts with","Porphyromonas (interacts with) Rothia"
"1906","1906","-0.803239848854356","1.04545455","-1","interacts with","Porphyromonas (interacts with) Streptococcus","false","interacts with","Porphyromonas (interacts with) Streptococcus"
"1907","1907","20.961162235351697","1.0","1","interacts with","Porphyromonas (interacts with) Veillonella","false","interacts with","Porphyromonas (interacts with) Veillonella"
"1908","1908","12.6239223146166","1.04761905","1","interacts with","Porphyromonas (interacts with) Klebsiella","false","interacts with","Porphyromonas (interacts with) Klebsiella"
"1909","1909","5.48024251474704","1.1031746","1","interacts with","Porphyromonas (interacts with) Moraxella","false","interacts with","Porphyromonas (interacts with) Moraxella"
"1910","1910","1.17733873036322","1.22624269","1","interacts with","Porphyromonas (interacts with) Pseudomonas","false","interacts with","Porphyromonas (interacts with) Pseudomonas"
"1911","1911","4.67200801929961","1.04761905","1","interacts with","Porphyromonas (interacts with) Aspergillus","false","interacts with","Porphyromonas (interacts with) Aspergillus"
"1912","1912","2.96457905407952","1.05263158","1","interacts with","Porphyromonas (interacts with) Candida","false","interacts with","Porphyromonas (interacts with) Candida"
"1913","1913","-2.78496118709687","1.0","-1","interacts with","Porphyromonas (interacts with) Cryptococcus","false","interacts with","Porphyromonas (interacts with) Cryptococcus"
"1914","1914","-0.346437084377416","1.04761905","-1","interacts with","Porphyromonas (interacts with) Penicillium","false","interacts with","Porphyromonas (interacts with) Penicillium"
"1915","1915","-2.51555505445607","1.0952381","-1","interacts with","Porphyromonas (interacts with) Saccharomyces","false","interacts with","Porphyromonas (interacts with) Saccharomyces"
"1916","1916","0.44961955063960707","1.0","1","interacts with","Porphyromonas (interacts with) unidentified","false","interacts with","Porphyromonas (interacts with) unidentified"
