"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Streptococcus",-0.060696079430587,0.176171712631226,-0.0599473456734912,-0.0872305677271265,0.0522824315116153,0.132363782049406,-0.210843825886748,0.00525712394747012,-0.0299573519823765,-0.0819379992175227,0.155974764800061,0.176646666186804,1,0.0964446126076739,-0.0593502912749749,-0.0165555598913561,-0.0709968755925467,-0.100551195792089,-0.109535750121759,-0.155041498401751,-0.0110891352597731,0.036919867125615,0.0235927693507864,0.161694912856971,0.0440409502852969,-0.0084658227170801,-0.0772554375485021,-0.0380339978636444,0.0508455471437959,0.0483302885425751,-0.0924929253783666,-0.197852226354752,0.0709397349028196,0.00126186260925473,-0.0352042383390289
"Veillonella",-0.0937529074508849,0.374746058869028,0.148962661848145,0.0259534369124854,-0.0478877212969229,0.00591271901037429,-0.192142609992631,0.440239848501917,-0.137293475617984,-0.0447106886301432,0.464804742622492,0.359649828731341,0.0964446126076739,1,0.0800730365326696,0.210032892125872,-0.0557542612040723,-0.123672030033763,-0.123536223370211,-0.15944416666343,-0.0573308857648471,0.0115896336722063,-0.0542789123670956,-0.0184946523753231,-0.0471674484176811,-0.0651157072825482,-0.016761800276443,0.0758700388383403,0.14146322873919,0.0178337010818219,0.113714509685871,-0.0380556265185507,0.0708768177615099,-0.0387258728925457,-0.0355039637530852
"Abiotrophia",-0.042634149329397,0.0404409403317548,0.0687448641456925,-0.0726479750200031,0.108029713460703,0.193728405457133,-0.097184422169889,0.103823621587009,0.00163009435395573,-0.051097710457873,0.17220566178672,0.272899256460081,-0.0593502912749749,0.0800730365326696,1,0.00157339611961444,-0.0272673388752273,-0.0646186344269094,-0.0410786037998629,0.0301174561266278,-0.0308831591679093,0.0538700636726351,-0.0208424007274798,-0.175226281440007,-0.0277026216721374,-0.0125581058258549,0.269367590025599,0.227536799294335,0.0688161254426397,0.0591742085497992,0.0326885951786428,-0.041295878949243,-0.0297549270102985,-0.0502344791237711,-0.0398478593468931
"Lautropia",-0.0344989586750092,0.00615522273395273,0.0872910883999998,-0.0403632041046243,0.0328752167432916,0.0901219292271112,0.00142889107597997,0.328093572234152,0.266343637412154,-0.0376831105874219,-0.0375003726228802,-0.0861389543564466,-0.0165555598913561,0.210032892125872,0.00157339611961444,1,-0.02994526589796,-0.0451161866471647,-0.0365742058520744,-0.0837003056053957,-0.0296564718908396,0.00514614025857728,-0.0259272977412222,-0.0530980856747257,-0.0283791077040258,-0.0258381478117642,0.00500871031479611,-0.0298258852769655,-0.0206648801692756,0.0377205884287221,0.230558607760611,-0.0833680429455566,0.208807093252133,-0.038682965447223,-0.0402067042028253
"Staphylococcus",-0.0399397336270324,-0.0651471769944113,-0.0452528890178664,0.0182293971584505,0.127740393275365,-0.0511774553949898,-0.0737154851465933,-0.0582405787287997,-0.0405153704342336,-0.0494536192821598,-0.054791005888281,-0.0783816412851509,-0.0709968755925467,-0.0557542612040723,-0.0272673388752273,-0.02994526589796,1,-0.042707681677005,-0.0362799672610389,-0.0705935658334116,-0.0102454916835816,0.0320743652643103,-0.0217036094186726,0.00385194168847195,-0.0186777128756327,-0.0180791833717521,-0.0339740728899879,0.0117930370971561,-0.0261242867250969,-0.018494213090646,-0.0713593898179705,0.114281827591017,-0.0249505925878761,-0.0361329451441676,-0.0290268810394967
"Klebsiella",-0.00255483522281076,-0.0944770907020797,-0.0882837371719295,-0.0725942413337975,-0.0386148362584978,-0.106726305973069,-0.122981364864102,-0.127661260584012,-0.112835988686659,-0.0613043780824323,-0.12342423715836,-0.172001862310338,-0.100551195792089,-0.123672030033763,-0.0646186344269094,-0.0451161866471647,-0.042707681677005,1,-0.0502951177171021,-0.112162077585247,0.0286736287573974,-0.0383916429843044,-0.0365277325026568,-0.0297702771425076,-0.0339121225023326,-0.0308565216813051,-0.00784038449991591,-0.0815446742316893,0.104664789788248,-0.0287366933423718,0.131428688220468,-0.0466488235967004,-0.041230601749624,0.173539063031489,-0.0150511062789639
"Moraxella",-0.038823069380149,-0.126002770552101,-0.0694422939748475,-0.0760220169409047,-0.014066697364043,-0.0310452845490925,0.0759082547383578,-0.113534591536669,-0.0718045620613755,0.0241965476871786,-0.126318722436286,-0.0877191591300186,-0.109535750121759,-0.123536223370211,-0.0410786037998629,-0.0365742058520744,-0.0362799672610389,-0.0502951177171021,1,-0.0302586837706927,-0.0306791071578835,-0.0632569836002298,-0.0256288085376915,0.141276636716625,0.000670968403194284,-0.0162384061668462,-0.0441719460299631,-0.0567667271732077,-0.0340151280796329,-0.0139625917902428,-0.0718818769464213,-0.0675115305796115,-0.0410166705290208,-0.0472954473790633,-0.0347778061433012
"Pseudomonas",-0.0963071804301453,-0.16279389586747,0.0455273336908283,-0.0888396699747726,-0.15648287953106,-0.141465304216179,-0.232693486485364,-0.0688491901640142,-0.151427926843089,-0.117125118324314,-0.195405625553523,-0.231679587022254,-0.155041498401751,-0.15944416666343,0.0301174561266278,-0.0837003056053957,-0.0705935658334116,-0.112162077585247,-0.0302586837706927,1,-0.0329530521505094,-0.0500580750938132,0.119570253459545,0.0924249253832609,0.0106603203137296,-0.031818159055531,0.104650117913837,-0.0934808038299231,-0.0596987081459488,-0.0372073538799831,-0.0957355137988972,-0.0474826177970961,0.000904928941366301,-0.0265131268110839,-0.0378383022557071
"Lactobacillus",-0.0310735859824229,-0.0334351791979612,-0.0528519126643253,-0.029331644883467,-0.0722759020574383,-0.0689499864360495,-0.0650183330936741,-0.0768953168320562,-0.0804673027127444,0.0106783944846164,-0.0209998494347178,-0.057636587197333,-0.0110891352597731,-0.0573308857648471,-0.0308831591679093,-0.0296564718908396,-0.0102454916835816,0.0286736287573974,-0.0306791071578835,-0.0329530521505094,1,-0.0368873912934926,-0.0188729050220729,0.138903076622423,0.0202281831713341,-0.0158986716759135,-0.0290519749475354,-0.0371875636894091,0.0138338501182763,0.00231236453751146,-0.0500830901232441,-0.141961928929291,-0.0252148540618771,-0.013088441287979,0.0241305403341402
"Aspergillus",0.0159932402962766,0.0316947025478636,-0.00255701534356749,-0.0148098301049806,0.0630937160787215,-0.0121824646790225,0.00738095567428982,-0.00862593329321776,0.353981761981921,0.0552051580706695,0.00992976610721088,0.0860133708623961,0.036919867125615,0.0115896336722063,0.0538700636726351,0.00514614025857728,0.0320743652643103,-0.0383916429843044,-0.0632569836002298,-0.0500580750938132,-0.0368873912934926,1,-0.0398068577663366,-0.449972509095638,-0.0393458525410966,-0.00816841806242148,0.208660397788618,-0.0326843449720732,0.126623539419063,-0.0254117781455193,0.0667469219872898,-0.117944990164868,-0.021784237817528,-0.0663445964221792,-0.0559516336451006
"Botrytis",-0.0327778287891042,-0.077408106397351,-0.047435113011,-0.0559876371091865,-0.0676182122258754,-0.0212578658975303,0.127170513374049,-0.0753750997292975,-0.0728422237804987,-0.0366584830649347,-0.0970539229012732,-0.0758672949128601,0.0235927693507864,-0.0542789123670956,-0.0208424007274798,-0.0259272977412222,-0.0217036094186726,-0.0365277325026568,-0.0256288085376915,0.119570253459545,-0.0188729050220729,-0.0398068577663366,1,0.0831422132772062,0.047497882454595,-0.00206973189807373,-0.0233378922836894,-0.0350985460804918,-0.0204025298384484,-0.0145194511847499,-0.0418204658812849,-0.00147241383568403,-0.0244187570701921,-0.0281577662485464,-0.0238789102497648
"Candida",-0.00920331107125107,0.0212491512599789,-0.10540466031913,-0.0990862383381566,-0.019967148847185,0.121744619266281,0.0125650980740744,-0.131371949239007,-0.176775365018051,0.0475164767526616,0.121113004945902,-0.0432647505276613,0.161694912856971,-0.0184946523753231,-0.175226281440007,-0.0530980856747257,0.00385194168847195,-0.0297702771425076,0.141276636716625,0.0924249253832609,0.138903076622423,-0.449972509095638,0.0831422132772062,1,0.0244929375732098,-0.0832661740805742,-0.348503834490867,-0.315901412312125,-0.265158003469977,-0.073839374402982,-0.572112630066778,-0.2806321485486,-0.119789213048706,0.0602420194153332,-0.0506079109758365
"Clavispora",-0.0316704674400112,-0.0952618307989908,-0.052002439530944,-0.0571384678936605,-0.0386231222428946,-0.031892421953387,0.108942020921758,-0.0800660035714704,-0.0737781314286046,-0.0271602373772282,-0.0932360006176057,-0.095713661252802,0.0440409502852969,-0.0471674484176811,-0.0277026216721374,-0.0283791077040258,-0.0186777128756327,-0.0339121225023326,0.000670968403194284,0.0106603203137296,0.0202281831713341,-0.0393458525410966,0.047497882454595,0.0244929375732098,1,-0.0133739090695616,-0.0265521490076451,-0.0313351319702945,-0.0201101517940682,-0.0143128674586681,-0.0212063267068174,-0.00249193931695509,0.274984162751453,-0.0277579055343719,-0.0234651525412663
"Cryptococcus",-0.0273385375903613,-0.0684800377381907,-0.0429686761249547,-0.0488667141163401,-0.0606749951562325,-0.0610531070357224,0.201902102965639,-0.0657456775460364,-0.0596261742919236,-0.0364556835850539,-0.0728406919113231,-0.0740143705988765,-0.0084658227170801,-0.0651157072825482,-0.0125581058258549,-0.0258381478117642,-0.0180791833717521,-0.0308565216813051,-0.0162384061668462,-0.031818159055531,-0.0158986716759135,-0.00816841806242148,-0.00206973189807373,-0.0832661740805742,-0.0133739090695616,1,0.00777429890537509,-0.0174918453847874,-0.016148109505163,-0.011945461555394,-0.0439076673528054,0.0476238571628377,-0.0203812302256173,-0.0235027416259877,0.0570321828803978
"Penicillium",0.142962625459172,-0.0453185855530342,-0.0525079984696433,-0.058768091027858,0.127460315140537,0.0110464200899345,0.133651900536496,-0.0643081087976666,-0.0716581533410966,-0.0637794555998448,-0.0719325498880627,-0.0486670451060958,-0.0772554375485021,-0.016761800276443,0.269367590025599,0.00500871031479611,-0.0339740728899879,-0.00784038449991591,-0.0441719460299631,0.104650117913837,-0.0290519749475354,0.208660397788618,-0.0233378922836894,-0.348503834490867,-0.0265521490076451,0.00777429890537509,1,-0.0156143253625991,0.0369064287615903,-0.0212249005726573,0.108373291164179,-0.0600828868421563,-0.0389851879365689,-0.0447773207967151,-0.0137771206378742
"Saccharomyces",-0.0617968345619618,0.205532398005243,0.0396096009586499,0.0563833116580361,0.0511385808652762,0.00742504321240664,-0.0657440388564371,0.185451273572806,0.119483621037011,-0.013121818971268,-0.032459381686101,0.16773267417931,-0.0380339978636444,0.0758700388383403,0.227536799294335,-0.0298258852769655,0.0117930370971561,-0.0815446742316893,-0.0567667271732077,-0.0934808038299231,-0.0371875636894091,-0.0326843449720732,-0.0350985460804918,-0.315901412312125,-0.0313351319702945,-0.0174918453847874,-0.0156143253625991,1,-0.0466968955070513,-0.0331403801415656,-0.0265623405669699,0.0750672934599185,0.0108190980585942,-0.0631073446104024,0.192204473834068
"Schizophyllum",-0.0280253854137795,0.175895748978973,-0.0149271963335914,0.0175985256917651,-0.00984221662392331,-0.0590174825607964,-0.0492267185752491,-0.0466085748477112,-0.0732843857246408,0.0177801292451159,0.200403863347214,0.22649056683142,0.0508455471437959,0.14146322873919,0.0688161254426397,-0.0206648801692756,-0.0261242867250969,0.104664789788248,-0.0340151280796329,-0.0596987081459488,0.0138338501182763,0.126623539419063,-0.0204025298384484,-0.265158003469977,-0.0201101517940682,-0.016148109505163,0.0369064287615903,-0.0466968955070513,1,0.0356587228388155,0.327429920967112,-0.112688104503261,-0.0294556144298305,-0.0333813906386004,-0.028733866103277
"Trichosporon",0.0665302254858196,-0.0239322877541249,-0.000480163731900423,-0.00547705278386878,-0.0372801935498598,-0.0548635329648065,-0.0368169550696592,-0.0206908199709686,0.186280709900107,0.0356751711818722,0.0960424809118626,0.100339925927212,0.0483302885425751,0.0178337010818219,0.0591742085497992,0.0377205884287221,-0.018494213090646,-0.0287366933423718,-0.0139625917902428,-0.0372073538799831,0.00231236453751146,-0.0254117781455193,-0.0145194511847499,-0.073839374402982,-0.0143128674586681,-0.011945461555394,-0.0212249005726573,-0.0331403801415656,0.0356587228388155,1,-0.0150957619257245,-0.138278098423115,-0.0209332923714891,0.0149281697310824,-0.0204979062837761
"unidentified",-0.0409323346385073,0.00825150243075012,0.217089023623848,0.136661689861694,0.00445860063993913,-0.0189498040172437,0.00752135834860692,0.298736506233384,0.0947070636772517,0.0533064087391686,0.0407139732674199,0.10158854705689,-0.0924929253783666,0.113714509685871,0.0326885951786428,0.230558607760611,-0.0713593898179705,0.131428688220468,-0.0718818769464213,-0.0957355137988972,-0.0500830901232441,0.0667469219872898,-0.0418204658812849,-0.572112630066778,-0.0212063267068174,-0.0439076673528054,0.108373291164179,-0.0265623405669699,0.327429920967112,-0.0150957619257245,1,-0.000690210822665495,0.157903951127194,-0.0943117086353045,-0.0689056612882276
"PIV3",-0.168974697083393,-0.192383757365613,0.0444794832864581,0.0157239623372105,-0.0342576888565914,-0.0619190971454188,-0.0380934405790277,-0.0127948034103086,-0.0803357008363311,-0.121080933511613,-0.195847400189351,-0.189822458098213,-0.197852226354752,-0.0380556265185507,-0.041295878949243,-0.0833680429455566,0.114281827591017,-0.0466488235967004,-0.0675115305796115,-0.0474826177970961,-0.141961928929291,-0.117944990164868,-0.00147241383568403,-0.2806321485486,-0.00249193931695509,0.0476238571628377,-0.0600828868421563,0.0750672934599185,-0.112688104503261,-0.138278098423115,-0.000690210822665495,1,-0.173988587486639,-0.303035432034289,-0.152984033133777
"PIV4",-0.043882487888181,-0.0295553981025361,-0.0185280130158106,-0.0651718583682902,-0.0854107106639401,-0.0412484385237932,-0.0191953026071718,0.109186229840898,0.00565213920269895,-0.0501310727131497,-0.078349699879983,-0.00230717504968532,0.0709397349028196,0.0708768177615099,-0.0297549270102985,0.208807093252133,-0.0249505925878761,-0.041230601749624,-0.0410166705290208,0.000904928941366301,-0.0252148540618771,-0.021784237817528,-0.0244187570701921,-0.119789213048706,0.274984162751453,-0.0203812302256173,-0.0389851879365689,0.0108190980585942,-0.0294556144298305,-0.0209332923714891,0.157903951127194,-0.173988587486639,1,-0.0406520324876316,-0.0341730435408489
"RV",0.462985564673836,0.109419710845262,-0.0740033601604221,-0.0704555183467837,-0.110454611548379,-0.0877320395620139,-0.114378083146858,-0.0588841167705161,-0.0396560058998395,-0.0639927646392211,-0.0200690456769507,-0.102780548132365,0.00126186260925473,-0.0387258728925457,-0.0502344791237711,-0.038682965447223,-0.0361329451441676,0.173539063031489,-0.0472954473790633,-0.0265131268110839,-0.013088441287979,-0.0663445964221792,-0.0281577662485464,0.0602420194153332,-0.0277579055343719,-0.0235027416259877,-0.0447773207967151,-0.0631073446104024,-0.0333813906386004,0.0149281697310824,-0.0943117086353045,-0.303035432034289,-0.0406520324876316,1,-0.0397518643355747
"Boca",-0.0464457167733466,-0.042186887175715,0.00574122644606902,-0.0376691904912605,-0.0818509049471535,-0.0634494088978082,0.133855456110667,-0.0587884213247012,-0.0669755429668394,-0.0337188740599296,-0.0603840612506785,-0.00798324293196704,-0.0352042383390289,-0.0355039637530852,-0.0398478593468931,-0.0402067042028253,-0.0290268810394967,-0.0150511062789639,-0.0347778061433012,-0.0378383022557071,0.0241305403341402,-0.0559516336451006,-0.0238789102497648,-0.0506079109758365,-0.0234651525412663,0.0570321828803978,-0.0137771206378742,0.192204473834068,-0.028733866103277,-0.0204979062837761,-0.0689056612882276,-0.152984033133777,-0.0341730435408489,-0.0397518643355747,1
