"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Rothia",0.141858473840193,0.426853599991761,0.143137631883803,0.302306562966088,0.232982030868991,0.251698781181923,0.203324740674213,0.45126297422505,0.226672654795903,0.556606485398826,1,0.501351364229467,0.4664095698445,0.0479547884689465,0.0717400809266113,0.140101755099662,0.216789380531447,0.189797435999762,0.0109549773828206,0.0772322959376489,0.217467605903499,0.332661692002452,0.153131051232446,0.0277393742127195
"Streptococcus",0.0987619504532078,0.254117439500665,0.0899556687420058,0.194113337240022,0.142130987160611,0.297391780393631,0.113832555388249,0.376095899711754,0.159456292332024,0.384080925408137,0.501351364229467,1,0.278882650553868,0.111264427946153,0.0706375908639572,0.226853593014859,0.187312135533525,0.355983400020575,0.017888044572696,0.056236563133835,0.143298993180053,0.246394355835518,0.286501510909025,0.0739437175551549
"Veillonella",0.146935414269161,0.64778913654252,0.264411753020778,0.312921799487746,0.340268224937616,0.17602188683135,0.441948200542575,0.233429377461512,0.269161553256925,0.610757455072029,0.4664095698445,0.278882650553868,1,0.0489293957541913,0.0365666219288604,0.105013210793599,0.179415191227906,0.0872674025721464,0.0065707644200319,0.0870287021700358,0.138881543119977,0.226025708545427,0.0816668913169196,0.0320672450249534
"Klebsiella",0.0891222221552266,0.0722277553752917,0.0418722689552385,0.078235760668253,0.0348701295261193,0.0385201729908392,0.0308412968968377,0.0465513529864229,0.037669926924685,0.0784811206413905,0.0479547884689465,0.111264427946153,0.0489293957541913,1,0.00955416032267709,0.03339889324233,0.0459504605115338,0.0737274689127454,0,0.0423264322987658,0.00568260214277116,0.144064109852516,0.0746445517964692,0.164888036928816
"Moraxella",0.0376829050941709,0.0407881933451654,0.0365041033444197,0.0857741682533721,0.0871744796650319,0.106024717202286,0.0314824191292704,0.0737114030415006,0.128314191445309,0.0482356260384963,0.0717400809266113,0.0706375908639572,0.0365666219288604,0.00955416032267709,1,0.0645830237739995,0.0204228939792088,0.0492995789649027,0.0132247551464885,0.00693822245113229,0.015112641518729,0.0348638009242265,0.0336973046276065,0
"Pseudomonas",0.0437966772033481,0.119199392844368,0.0519047908188667,0.0747528716084174,0.0541966510969619,0.0711638587220015,0.0679481364265022,0.143151243497007,0.0697015059658139,0.135737855260378,0.140101755099662,0.226853593014859,0.105013210793599,0.03339889324233,0.0645830237739995,1,0.0819594937513718,0.219878979873732,0.00747191081229759,0.0925635962133519,0.0521104325220396,0.0998935943943833,0.190030646740373,0.0481576119987538
"Aspergillus",0.114670972369269,0.188529251983719,0.0672499927035496,0.153833609086207,0.108696849224092,0.138599689701348,0.111957625589123,0.288357131918867,0.141705224711948,0.177408343126586,0.216789380531447,0.187312135533525,0.179415191227906,0.0459504605115338,0.0204228939792088,0.0819594937513718,1,0.0323021744413192,0.013749386730329,0.27287735842024,0.0697097012758904,0.237663007109764,0.0783122184361276,0.000111776500752447
"Candida",0.0539023708769725,0.0724393327446614,0.0239116464978446,0.0529529552788954,0.0375999008743743,0.288086324881634,0.0298633964048506,0.145456383035397,0.0608968463887073,0.125642364958575,0.189797435999762,0.355983400020575,0.0872674025721464,0.0737274689127454,0.0492995789649027,0.219878979873732,0.0323021744413192,1,0.0076193420595474,0.0101775352634363,0.05926978374558,0.066768435452133,0.655329716521305,0.0971930149545792
"Cryptococcus",0.00308421722814545,0.00839990129821933,0.006437940788109,0.00338404191605612,0.00579508220041136,0.0357506750679958,0.00599934309348737,0.00772452457538031,0.00320558893088108,0.00382480715217715,0.0109549773828206,0.017888044572696,0.0065707644200319,0,0.0132247551464885,0.00747191081229759,0.013749386730329,0.0076193420595474,1,0.0492635369120479,0.0209186837768758,0.00652868622540659,0.00831872377125931,0
"Penicillium",0.144268401537204,0.0947332542628369,0.043926334506875,0.116879884268007,0.0927369138993923,0.100935754524197,0.0830263041693127,0.0631848276957292,0.0338033709389635,0.0569662662187805,0.0772322959376489,0.056236563133835,0.0870287021700358,0.0423264322987658,0.00693822245113229,0.0925635962133519,0.27287735842024,0.0101775352634363,0.0492635369120479,1,0.0708784311603442,0.177980954876049,0.0326046936489854,0.000167543000595516
"Saccharomyces",0.0254674380484131,0.169005329527417,0.0944054115416549,0.109139755929361,0.0935616301818082,0.0969877431172712,0.123292631504464,0.202080920459021,0.117305094924841,0.123308809635127,0.217467605903499,0.143298993180053,0.138881543119977,0.00568260214277116,0.015112641518729,0.0521104325220396,0.0697097012758904,0.05926978374558,0.0209186837768758,0.0708784311603442,1,0.109223379603742,0.0947440487524248,0.00185056558718499
"unidentified",0.0871891144007898,0.210844406874627,0.116302797784996,0.180274193345625,0.156890948276085,0.212639630784746,0.148014977429635,0.270933751372078,0.153290368559973,0.238216682896235,0.332661692002452,0.246394355835518,0.226025708545427,0.144064109852516,0.0348638009242265,0.0998935943943833,0.237663007109764,0.066768435452133,0.00652868622540659,0.177980954876049,0.109223379603742,1,0.130725493977427,0.000263931761032343
"PIV3",0.02498510458564,0.0558297764625649,0.0224672602887676,0.0468811004605755,0.0304911421205268,0.272348554492176,0.0302757210560117,0.139742143772236,0.0426002508134369,0.0978728738489962,0.153131051232446,0.286501510909025,0.0816668913169196,0.0746445517964692,0.0336973046276065,0.190030646740373,0.0783122184361276,0.655329716521305,0.00831872377125931,0.0326046936489854,0.0947440487524248,0.130725493977427,1,1.07280367362961e-05
"RV",0.305880364337921,0.0637866552031211,0.00523284611830577,0.00356059735185799,0.00707073828972982,0.00696309956401531,0.0123226090797213,0.0409836034186065,0.00479586624121564,0.0456321498024217,0.0277393742127195,0.0739437175551549,0.0320672450249534,0.164888036928816,0,0.0481576119987538,0.000111776500752447,0.0971930149545792,0,0.000167543000595516,0.00185056558718499,0.000263931761032343,1.07280367362961e-05,1
