K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
133,0.7900197178,0.7491858234,0.8175638013,0.9611056264,,
134,0.7899318421,0.7489888113,0.8176267953,0.9610887465,,
135,0.7897223582,0.7486394644,0.8175914442,0.9610663128,,
136,0.7895995986,0.7483699873,0.817664574,0.9610736564,,
137,0.7895278215,0.7483773356,0.8174671351,0.9610318022,,
138,0.7889351243,0.7477103761,0.8168956357,0.9608947259,,
139,0.7881665484,0.7467326855,0.8163227382,0.9607291877,,
174,0.7881315929,0.7476486924,0.8150082922,0.9599000318,,
173,0.7881223137,0.7475786194,0.8150826862,0.9599321401,,
213,0.7881054986,0.7468177198,0.8162109529,0.9598170546,,
175,0.788104162,0.7476406209,0.8149522039,0.9598694823,,
212,0.788104052,0.746821873,0.8162006555,0.9598175137,,
214,0.7880987721,0.7468001291,0.8162183321,0.9598219591,,
140,0.7880973334,0.7468868153,0.8159201212,0.960637937,,
216,0.7880958654,0.7467800609,0.8162402057,0.9598249366,,
211,0.7880944483,0.7468228344,0.8161736136,0.9598152022,,
215,0.7880925877,0.7467817598,0.8162282413,0.9598274552,,
172,0.7880800395,0.7475104992,0.8150683362,0.959945705,,
210,0.7880728582,0.7467879728,0.8161664156,0.9598220173,,
209,0.7880681589,0.7467870717,0.8161559611,0.9598173695,,
142,0.78805655,0.7467318609,0.8160497785,0.9606083692,,
176,0.7880555235,0.7476202745,0.8148594582,0.9598274208,,
208,0.7880530123,0.7467779947,0.8161281927,0.9598194311,,
171,0.7880502698,0.7474841188,0.8150242608,0.9599618315,,
145,0.7880429982,0.7469636699,0.8156779789,0.9605305145,,
170,0.7880293187,0.7474649891,0.8149948684,0.9599693127,,
207,0.788025519,0.7467389879,0.8161114442,0.9598252853,,
141,0.7880252163,0.7468200866,0.815835641,0.9605868863,,
206,0.7880160242,0.7467272168,0.8161037952,0.9598237748,,
144,0.7880151278,0.7468679731,0.8157472104,0.9605300721,,
177,0.7880005852,0.7475333545,0.8148416502,0.9598286931,,
143,0.7879975646,0.7467852032,0.8158180601,0.9605635704,,
205,0.787982125,0.7466817044,0.8160806746,0.9598238077,,
204,0.7879557818,0.7466576097,0.8160456116,0.9598240596,,
169,0.7879445623,0.7472933863,0.8150175177,0.9600043033,,
203,0.7879037675,0.7466063012,0.8159818881,0.9598252535,,
146,0.7878910652,0.7467078288,0.8156589591,0.9604998218,,
147,0.7878832495,0.7466762824,0.8156875654,0.960489358,,
168,0.7878818619,0.74718489,0.815006986,0.9600270915,,
148,0.7878652381,0.7466502027,0.8156792967,0.9604836507,,
202,0.7878637377,0.7465876456,0.8159034319,0.9598157132,,
167,0.7878554059,0.7471139971,0.8150350776,0.9600639515,,
201,0.7878493289,0.7465779147,0.815878061,0.9598207379,,
166,0.7878396053,0.747044552,0.8150883611,0.9601084166,,
200,0.7878331721,0.7465942592,0.8158105996,0.9598153135,,
150,0.7878270492,0.7466252444,0.8156259576,0.9604211557,,
199,0.7878261517,0.7466082642,0.8157704288,0.9598150412,,
149,0.7878252023,0.7465353058,0.8157463791,0.960474161,,
154,0.7878248685,0.7469304151,0.8151858477,0.9602842757,,
153,0.7878241413,0.7468783302,0.8152597934,0.9602985766,,
152,0.7878167798,0.7467268134,0.8154583197,0.9603519511,,
165,0.7877861095,0.7470472352,0.8149431533,0.960088628,,
151,0.7877847247,0.7465023924,0.8156968315,0.9604218285,,
198,0.7877808354,0.7465497431,0.8157362123,0.9598140872,,
164,0.7877685107,0.747064132,0.8148749858,0.9600629985,,
155,0.7877657946,0.7468602521,0.8151366048,0.9602599083,,
197,0.7877591754,0.7465461773,0.8156822575,0.9598170624,,
157,0.7877591708,0.7469488344,0.814995434,0.9602060236,,
156,0.7877535342,0.7468625769,0.815103892,0.9602396093,,
196,0.7877187038,0.7465011164,0.8156423801,0.9598083268,,
163,0.7877064205,0.7468218596,0.8150580764,0.9601376325,,
160,0.7877063566,0.7467309584,0.8151795671,0.960216753,,
195,0.7877003451,0.7464831703,0.8156174432,0.9598197388,,
194,0.7876963605,0.7465124879,0.8155614875,0.9598237615,,
158,0.7876925679,0.7468384534,0.8149855921,0.9601866878,,
