K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
188,0.7938197767,0.7534323969,0.9593604138,0.8217975613,,
189,0.7937845567,0.7533845132,0.9593589519,0.8217747436,,
131,0.7937746088,0.7525478873,0.965898413,0.8252221704,,
132,0.7936969071,0.7525583571,0.9659024754,0.8250004022,,
190,0.7936835945,0.7533590155,0.9593234977,0.8215465396,,
133,0.7936277971,0.7525205832,0.9658734525,0.8248782082,,
191,0.7936206405,0.7532930861,0.9592956952,0.8214810556,,
134,0.7936140705,0.7526077739,0.9658755462,0.824712866,,
192,0.7935498462,0.7531809377,0.9592788461,0.8214620202,,
135,0.7935021292,0.7524727562,0.9658641694,0.8246178067,,
136,0.7934851753,0.7525341035,0.9658382164,0.8244868474,,
193,0.7934849352,0.7530529037,0.959268216,0.8214817267,,
194,0.7934736843,0.7530205399,0.9592607018,0.8215016617,,
195,0.7934261581,0.753021009,0.9592500702,0.8213741636,,
196,0.7933993561,0.7529686415,0.9592385629,0.8213829705,,
137,0.7933878602,0.7524293145,0.9658103532,0.8243887033,,
197,0.7933672229,0.7529488843,0.9592313076,0.8213271431,,
198,0.7933596412,0.7529904292,0.9592105184,0.8212478989,,
199,0.7933022021,0.7529334006,0.9592044717,0.8211795606,,
200,0.7932981435,0.7529600213,0.9591867333,0.8211318354,,
138,0.7932963203,0.7523514198,0.9657784602,0.8242668446,,
201,0.79327919,0.7529306817,0.9591959849,0.8211229497,,
202,0.7932597481,0.7528968156,0.9591988745,0.8211208582,,
203,0.7932305642,0.7528832617,0.9592060416,0.8210607638,,
139,0.7932180069,0.7522380949,0.9657387331,0.8242336066,,
140,0.7931973285,0.7523669582,0.9657127406,0.8239931703,,
204,0.793188012,0.7528098873,0.9592085967,0.8210558087,,
205,0.7931819002,0.7528014538,0.9592131747,0.8210510706,,
142,0.793181369,0.7525226293,0.9656939282,0.8237244382,,
206,0.7931773774,0.7528231122,0.9592185104,0.821004977,,
141,0.7931735001,0.7524339293,0.9656911744,0.8238349711,,
207,0.7931731995,0.7528173845,0.9592205093,0.8210019077,,
210,0.7931657869,0.752803778,0.9592302708,0.8210004287,,
214,0.7931651984,0.7527985048,0.8210049977,0.959239323,,
213,0.7931645167,0.7527971924,0.9592375347,0.8210054912,,
216,0.7931641747,0.7527964619,0.821005104,0.9592403559,,
211,0.7931641257,0.7527945064,0.9592324239,0.8210095152,,
215,0.7931632206,0.7527943434,0.8210057134,0.9592403908,,
212,0.7931615375,0.7527828234,0.821019112,0.9592376907,,
209,0.7931614305,0.7527941643,0.9592214947,0.8210049078,,
208,0.7931595443,0.7527891777,0.9592225472,0.8210071232,,
143,0.793127225,0.7524939731,0.965695679,0.8236231411,,
144,0.7931173329,0.7525600944,0.9656634377,0.8235048987,,
145,0.7930357164,0.7524808442,0.9656604678,0.823406363,,
146,0.7929514908,0.7523995945,0.9656461896,0.8233058039,,
147,0.7928770229,0.7523564372,0.9656360848,0.8231741448,,
148,0.7928591752,0.7523834684,0.965620981,0.823089605,,
149,0.7927475522,0.7522926688,0.965596074,0.8229324494,,
151,0.79270327,0.7523534907,0.9655566853,0.8227322393,,
150,0.792691568,0.7522372061,0.9655683963,0.8228708631,,
152,0.7926091068,0.7523140396,0.9655323394,0.8225454222,,
153,0.7925795663,0.7523230941,0.965511842,0.8224573867,,
154,0.7925637444,0.7523006408,0.9655006734,0.8224505558,,
155,0.7925145935,0.7523380165,0.9654907171,0.8222670336,,
156,0.7924728759,0.7523246321,0.9654737301,0.822179285,,
157,0.7924015806,0.752279874,0.9654645666,0.8220582234,,
160,0.792384305,0.7523025865,0.9654285062,0.8219851478,,
158,0.7923818361,0.752239499,0.9654580031,0.8220666708,,
161,0.7923799732,0.7523254406,0.9654035759,0.8219442172,,
159,0.7923616296,0.7522512,0.9654571925,0.8219960699,,
162,0.7922896734,0.752271097,0.9653771702,0.8217899514,,
163,0.7922627511,0.7522962199,0.9653832351,0.8216805985,,
164,0.7922536644,0.7523544801,0.965369812,0.8215728746,,
165,0.7921717071,0.7522320124,0.9653333676,0.8215429242,,
166,0.7921293324,0.7521910013,0.9653220671,0.8214932322,,
167,0.7920566993,0.7521384748,0.965305748,0.8213813148,,
168,0.7919745696,0.7520044479,0.9652980268,0.8213630614,,
170,0.7918942389,0.7518971607,0.8213098017,0.9652921188,,
169,0.7918873657,0.7519015436,0.9652747559,0.8212881098,,
171,0.7918662565,0.7519706567,0.8211288775,0.9652828751,,
172,0.7917725557,0.7518347763,0.965281015,0.8210817371,,
173,0.7917246327,0.7518144016,0.9652810525,0.8209849751,,
174,0.7916450391,0.7518172374,0.8207740649,0.9652581746,,
175,0.7915885012,0.7518390537,0.8205968278,0.9652313854,,
