K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
109,0.773033053,0.7360871073,0.8530395938,0.7707904735,,
64,0.7727382436,0.825143722,0.7409067678,,,
110,0.7725097906,0.7374010798,0.7673833746,0.8528348523,,
111,0.7720368348,0.7389134966,0.8526467307,0.7639908763,,
65,0.7718442693,0.8220782578,0.7407291868,,,
66,0.7709138015,0.8213241869,0.7396894583,,,
67,0.7698294529,0.8204475492,0.7384764529,,,
113,0.7695728267,0.7359269981,0.7603900421,0.8579398237,,
112,0.7691360501,0.733451523,0.7615367676,0.8619354311,,
114,0.7690258391,0.7353046959,0.7597464824,0.8577271265,,
68,0.7687013471,0.8195447557,0.737208788,,,
115,0.7679011665,0.7347507622,0.756867504,0.8608972362,,
70,0.7676828735,0.8163492179,0.7369462349,,,
69,0.7676667642,0.8187030021,0.7360547661,,,
116,0.7663839369,0.7382410016,0.7484530537,0.8634652071,,
117,0.7651461283,0.7359438021,0.7478119169,0.8664767598,,
71,0.7650828105,0.816541749,0.7332089903,,,
118,0.7648923373,0.7357045286,0.8663751886,0.7474666663,,
119,0.7645159496,0.7352997806,0.8662347946,0.7470054805,,
120,0.7641127709,0.7348275537,0.8660414438,0.7465760191,,
72,0.7640048062,0.8156493301,0.7320160339,,,
121,0.7627881505,0.7343636477,0.7435797825,0.8692126923,,
123,0.7624254485,0.7360188708,0.7408693342,0.8689673202,,
122,0.7623060502,0.7315777351,0.7457007706,0.8689735459,,
124,0.7619823545,0.7355362911,0.8688722703,0.7403051922,,
125,0.7615776079,0.7350779516,0.8687520616,0.7398245517,,
75,0.7613230969,0.8085339874,0.7309221447,,,
126,0.7611933159,0.734636557,0.8687068441,0.7393425005,,
127,0.7610061776,0.7345521415,0.8685091143,0.739049164,,
128,0.7608293288,0.7343848247,0.7387942794,0.8684761686,,
73,0.7598207413,0.8220660391,0.7241875636,,,
129,0.7593412378,0.7333821934,0.7363374656,0.8713042248,,
130,0.7589845727,0.7329615278,0.7359112592,0.8712518826,,
131,0.7587268909,0.7326027241,0.871162679,0.7356853514,,
74,0.7585049895,0.8235460632,0.7220071208,,,
132,0.7573375869,0.7320740674,0.8741360008,0.7330376336,,
133,0.7569113505,0.7315774133,0.7325432152,0.8740363504,,
134,0.7566182113,0.7312686782,0.7321510558,0.8740076735,,
135,0.7565601064,0.731301733,0.7319970694,0.8739483843,,
136,0.7563111657,0.7310460327,0.7316716431,0.8738909211,,
137,0.7560071528,0.7330072312,0.7289448942,0.8737564062,,
138,0.7556111866,0.7371440313,0.7240133328,0.8737002306,,
76,0.7555042162,0.8236596616,0.7180187213,,,
139,0.7554805645,0.7370448105,0.7238017299,0.8736878601,,
79,0.7551549842,0.8106248673,0.7214621664,,,
3,0.7551048684,0.9277803593,0.9039414659,0.6694183789,0.9349138931,
77,0.754423759,0.8227961083,0.7168189668,,,
78,0.7532535149,0.8219006691,0.7154975801,,,
80,0.7510215333,0.8200683227,0.7130457992,,,
83,0.7498075885,0.7147340534,0.808696487,,,
81,0.7495543436,0.7107300335,0.8215836559,,,
84,0.7485615461,0.7133625662,0.8076610679,,,
82,0.7485039388,0.7095715701,0.8207337283,,,
86,0.7480241996,0.7164079889,0.797122315,,,
85,0.7460684521,0.7090282331,0.8107716194,,,
88,0.7416051155,0.7033596567,0.8097604845,,,
87,0.7413306287,0.7016685741,0.8149141775,,,
89,0.7377986658,0.6965045217,0.817596809,,,
1,0.6912047862,0.9092076949,0.6173902215,0.9191929631,,
2,0.6882133964,0.6665493464,0.9603680252,,,
140,0.6770152317,0.6260774088,0.8516591962,,,
141,0.676849926,0.6258973771,0.851544379,,,
142,0.6765184447,0.6255310967,0.8513322093,,,
143,0.6763240182,0.6253187873,0.8511990958,,,
144,0.6750256239,0.6242019968,0.8539671442,,,
145,0.67484125,0.6240005749,0.8538427934,,,
146,0.6746723437,0.6238164282,0.8537275463,,,
147,0.6744151263,0.6235326017,0.8535640152,,,
148,0.6741704063,0.6232620889,0.8534101068,,,
149,0.6738548313,0.6229132411,0.8532116804,,,
150,0.6737264463,0.6227726083,0.8531264177,,,
151,0.6735774472,0.622611158,0.8530212574,,,
152,0.6717177216,0.6208980962,0.8555333877,,,
153,0.6696795608,0.6190286567,0.8579687911,,,
154,0.6691820281,0.6184738646,0.8576841143,,,
155,0.668908281,0.6181706063,0.8575200713,,,
156,0.66866474,0.6179024612,0.8573679934,,,
157,0.6684207639,0.6176334629,0.8572170354,,,
158,0.6681623876,0.6173477529,0.8570602691,,,
159,0.6660704084,0.6154536232,0.8595390097,,,
160,0.665771199,0.6151231599,0.8593592598,,,
161,0.6640557646,0.6136740223,0.862147615,,,
162,0.663760643,0.6133469943,0.8619779431,,,
163,0.6632242123,0.6127474399,0.8616897039,,,
164,0.6630353236,0.6125384954,0.8615796707,,,
165,0.6613004408,0.6111081552,0.8644041079,,,
166,0.6610309511,0.6108110375,0.8642464151,,,
167,0.6607339848,0.6104819744,0.8640793292,,,
168,0.6602654589,0.6099598299,0.8638277715,,,
169,0.6585575592,0.6086180764,0.8666387379,,,
170,0.6534489691,0.6048353935,0.8753263142,,,
171,0.6515072345,0.6033837227,0.8781943032,,,
172,0.6489844707,0.6013335273,0.880799871,,,
173,0.6486770871,0.6009929669,0.8806538883,,,
174,0.6481189342,0.6003718881,0.880401861,,,
175,0.6476205481,0.5998180412,0.8801732846,,,
176,0.6473728572,0.599545586,0.8800460683,,,
177,0.6431736715,0.596506117,0.8858449548,,,
178,0.6393858364,0.5940865994,0.8919634007,,,
179,0.6374134364,0.5928544927,0.8950198299,,,
180,0.6372291417,0.5926526647,0.8949368998,,,
181,0.6370732339,0.5924824873,0.8948634881,,,
182,0.6369756418,0.5923767214,0.8948131503,,,
183,0.6368134911,0.5921995875,0.8947376211,,,
184,0.6366611988,0.5920331523,0.8946670927,,,
185,0.6365036274,0.5918609146,0.8945943107,,,
186,0.6359991769,0.5913039773,0.8943932998,,,
