"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Prevotella",0.385821328344973,0.755079418374332,0.737451534098049,0.791997523985813,0.61730371214715,0.254883200786222,-0.58756599704983,0.799348713655416,0.561365481179269,0.66853722983101,1,0.146319371416666,-0.171375772147664,0.876357962117932,0.359448843009254,0.546584690271537,0.26373651019092,0.500968417159639,0.288414574490848,0.196251484165854,0.589693287458422,0.618768140619517,-0.448786322787258,0.192005005385609,-0.472877648294122,-0.515254971633267,-0.300801685680757,-0.284018537853656,0.33958212040534,0.375049290029288,-0.25807197962959,-0.0336943999584228,NA,0.0844979425081323,-0.153667943386561
"Rothia",0.024955619571063,0.39710619758865,0.15529024386834,0.138888573988867,0.197277707031617,0.217723857657088,-0.352045561559631,0.0864104328850744,0.165089978648889,0.181362069238631,0.146319371416666,1,-0.385714913056463,0.245047756835006,0.0442596325967002,0.0270701866119364,0.154865815947575,0.0804774898111328,0.160985865297782,-0.0341169057297539,0.180684408236334,0.0435642874702462,-0.408865465786592,0.148914070507332,-0.0794344605099271,-0.0722171334708756,-0.111264892612265,-0.307938743852166,0.0595702942234933,-0.051618564495779,0.0691351062425226,-0.0906276998504762,NA,0.0501018516982648,-0.251430278452057
"Streptococcus",-0.0557465600092849,-0.2924119027085,-0.186601199254679,-0.208301722931177,-0.128956574265055,-0.169556584752967,0.115146458444843,-0.201710938498232,-0.293209401088572,-0.182578229554556,-0.171375772147664,-0.385714913056463,1,-0.271318696844909,-0.0264988893448528,-0.112004794418205,-0.181213875361354,-0.111337566310836,-0.140913143977816,-0.212990020239822,-0.166731817643374,-0.112448219821964,0.187776620531046,0.114007147094193,0.016965470873206,0.25283653808238,0.228588377470449,0.297265385491896,-0.0227181765010413,0.0208824256159467,0.108061356961639,-0.263246328402009,NA,-0.379409525994052,-0.0300296159733796
"Veillonella",0.344097564887221,0.788539060160723,0.696543859399233,0.762902712413821,0.533640632481845,0.257412163365776,-0.644623752103763,0.739139672708609,0.570606224616708,0.627390368794421,0.876357962117932,0.245047756835006,-0.271318696844909,1,0.289081132804329,0.525501978676798,0.380417405133869,0.418519005394293,0.401455659264021,0.186876760311619,0.678623146377436,0.648943760281222,-0.39221543870848,0.179067150520176,-0.438592615114767,-0.601916595281642,-0.386810611193507,-0.37310332680622,0.271184648728992,0.355684667497799,-0.252500695472494,0.0292688166549407,NA,0.0834398677135681,-0.232053204620135
"Abiotrophia",0.124272445620488,0.20195782398756,0.482376429061008,0.308707826747839,0.368571178994496,0.147847927922163,-0.232749099505351,0.391053755293087,0.337834057362432,0.303396880809562,0.359448843009254,0.0442596325967002,-0.0264988893448528,0.289081132804329,1,0.42460270116579,0.164407967455153,0.115693937247432,0.112996571341037,-0.0657633656365698,0.120191866412693,0.383442581723725,-0.224733041141595,0.0334284707052744,-0.256416960857467,-0.154107653250435,0.0216495109346667,-0.131483875087769,0.0843145457485552,0.0767092312988018,-0.0378104676581319,-0.0473173608468615,NA,0.198757420161636,0.0386899021146074
"Lautropia",0.500466022643612,0.354701462652426,0.638776467902051,0.579146494667707,0.399029386545895,0.021483487332411,-0.309432533162641,0.604258668944952,0.553595430956763,0.63446128145091,0.546584690271537,0.0270701866119364,-0.112004794418205,0.525501978676798,0.42460270116579,1,0.408767304208176,0.364911903770644,0.110853289709225,0.226850393629453,0.257309581067147,0.46017459861282,-0.242924669495877,0.212246079193962,-0.357728338241776,-0.456773863685357,-0.150838581642727,-0.242771012418181,0.0303863863869361,0.26944847446835,-0.0931321907365804,-0.0164508566466698,NA,0.152525424681599,-0.13184335047005
"Staphylococcus",0.102172475850658,0.213417552839997,0.26600152456034,0.146776153667442,0.15871651476751,-0.0174189560577907,-0.320966728428729,0.181186872994624,0.249095073443195,0.308047694971341,0.26373651019092,0.154865815947575,-0.181213875361354,0.380417405133869,0.164407967455153,0.408767304208176,1,0.0854764407205329,0.369395342652076,0.24500041099628,0.255351455214071,0.307408797024935,-0.133543935525019,0.0132503602738672,-0.158817248782975,-0.36791483021677,-0.106151752933368,-0.232338737620403,-0.0754240621348043,-0.118079256673849,-0.149379955626332,0.16767274644496,NA,0.219864551683202,-0.0985714193247779
"Klebsiella",0.405796318311178,0.42068066388773,0.440042829853794,0.463444592657106,0.511050099229777,-0.0364056680831086,-0.32073230113469,0.414200935839632,0.327198319320502,0.437716510972937,0.500968417159639,0.0804774898111328,-0.111337566310836,0.418519005394293,0.115693937247432,0.364911903770644,0.0854764407205329,1,-0.100877040449184,0.116930299612797,0.40584100604619,0.280577539907732,-0.253324389517678,0.116023012924176,-0.271109064218672,-0.356162169714019,-0.358129318575632,-0.031462223313809,0.346611426454896,0.199798683815732,-0.0753813709784894,-0.0335994422083144,NA,-0.0251735360069508,-0.088050978047266
"Moraxella",0.0131182426880618,0.270084400100224,0.241535556405468,0.21803092354249,0.179561982242515,0.199223472001882,-0.241382033697856,0.170176223913625,0.125115040050476,0.242986170324105,0.288414574490848,0.160985865297782,-0.140913143977816,0.401455659264021,0.112996571341037,0.110853289709225,0.369395342652076,-0.100877040449184,1,0.0628158784702314,0.384999930313714,0.315520695088723,-0.141374374790727,0.116397838866656,-0.111733191591721,-0.245179701588266,-0.0714020406992983,-0.241849808642915,0.0737356869044743,-0.0499460107381544,-0.0962776348274196,0.116890566989617,NA,-0.00960988837069179,-0.136334415651739
"Pseudomonas",0.284226936571449,0.210088610444124,0.102641253644649,0.168758858188313,0.1377664563591,0.102838263569814,-0.381219973306763,0.233417781642281,0.355244567042093,0.207253448246393,0.196251484165854,-0.0341169057297539,-0.212990020239822,0.186876760311619,-0.0657633656365698,0.226850393629453,0.24500041099628,0.116930299612797,0.0628158784702314,1,0.17148290966246,0.172857766194817,-0.0748819203674136,0.0216460437902852,-0.030983736674348,-0.278629506322429,-0.194329856593526,-0.262063617109038,-0.019063074551851,0.250932997368981,-0.0744179401870349,0.223723195576271,NA,0.0601807880736358,-0.0328053006722691
