"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Rothia",0.250596512268129,0.600485076825727,0.308571616602785,0.205854623860999,0.355587617901867,0.00889742532991753,0.367193005592786,0.373845001799201,0.259887249626969,0.515784958567225,1,0.403099866703901,0.533295092588319,-0.26594998142508,-0.0692810226342042,-0.144871135606749,0.00943771760736428,-0.0168958938666204,0.0996354704606113,0.0858202766256437,0.0260035699924004,0.170008072298221,-0.157563793912902,-0.0839798320105802
"Streptococcus",0.0349688411971186,0.393408608089568,0.139432151868151,0.123096316766102,0.24572872994822,0.0336856553136631,0.119172676000769,0.0882088675427909,0.12508648740091,0.294072465109034,0.403099866703901,1,0.380390421271177,-0.116009092037041,0.0286923685411268,-0.116301307964401,0.0101217559001991,0.109684659409718,0.0811062296795484,0.0428061016984724,-0.0465514010395239,0.0914420603081433,-0.285229832882111,-0.0476224131158367
"Veillonella",-0.0341401693765036,0.69772421189146,0.374827030825297,0.0281398971440974,0.278264860458368,-0.0827373762106817,0.545228989675697,0.128709000359822,0.157767927385985,0.762797228829493,0.533295092588319,0.380390421271177,1,-0.181169672970779,-0.184844024991869,-0.150665646535623,0.0683903924606753,-0.062347638019114,-0.0563672028425534,-0.0204441935198526,0.0124035875763622,0.0366699987963836,-0.0567160242806891,-0.0143089222055905
"Klebsiella",0.158185933278807,-0.106987497336247,-0.0143333723732411,0.0674182187013132,-0.120158034901309,-0.275765076601632,-0.103120468620746,-0.127152075020548,-0.0160580955290178,-0.113305405646809,-0.26594998142508,-0.116009092037041,-0.181169672970779,1,-0.0874793731742798,0.11025398677681,-0.00429663773932452,0.0862821126009924,-0.19228767188443,0.0113874989544432,0.01027942418989,-0.172856895645225,0.0237536206269461,0.142658206843787
"Moraxella",-0.0131344880234348,-0.130088644217308,-0.0921023785634946,-0.0303337055909169,0.0295475505007625,0.334864346173592,-0.188463423909682,0.0549545778872149,0.0525429748270505,-0.241958393680415,-0.0692810226342042,0.0286923685411268,-0.184844024991869,-0.0874793731742798,1,-0.232116924883846,0.0394388950349105,0.0624247474130652,0.18216672115396,0.11966132626815,0.046038974818316,0.0849245036225097,0.00415843344874155,-0.119742083151246
"Pseudomonas",0.0296920430583134,-0.10433886502521,-0.112667165873193,-0.0778617766029416,-0.166399949281392,-0.35052435878851,-0.0468758705584595,-0.0421185537362564,-0.0562860710136711,-0.175066820592876,-0.144871135606749,-0.116301307964401,-0.150665646535623,0.11025398677681,-0.232116924883846,1,-0.0608673314497178,0.0795079419383695,-0.0826145756140883,-0.0928242810673509,0.030880663296469,-0.0507544277082432,0.0345204929609505,0.0322107350454767
"Aspergillus",0.133517768779139,0.110270267247889,0.134472505857665,0.100065178417997,0.0888429313211643,0.103311616090145,0.137356673605858,0.235903014842881,0.113769325215618,0.102614088947226,0.00943771760736428,0.0101217559001991,0.0683903924606753,-0.00429663773932452,0.0394388950349105,-0.0608673314497178,1,-0.450344465760424,0.0199079411762185,0.257933177807314,0.156177222393321,0.343110714800741,0.0577103550111603,-0.0637891086607927
"Candida",-0.0805863688728297,-0.0125717777301741,-0.184899157912113,-0.0045352365159585,0.0729608343532605,-0.152983509615172,-0.167791353346146,-0.229848519068991,-0.145268677316827,-0.00389283603459266,-0.0168958938666204,0.109684659409718,-0.062347638019114,0.0862821126009924,0.0624247474130652,0.0795079419383695,-0.450344465760424,1,-0.0274284301574703,-0.334600477426754,-0.368560867003223,-0.505562533501073,-0.259559953173334,0.0795725079009904
"Cryptococcus",-0.0795376698606127,0.0220320177791129,-0.189616468662789,-0.0267335208590186,-0.0993673587125377,0.199513711215339,-0.090598061515432,-0.0825154055226956,-0.120228402159536,-0.148181905251625,0.0996354704606113,0.0811062296795484,-0.0563672028425534,-0.19228767188443,0.18216672115396,-0.0826145756140883,0.0199079411762185,-0.0274284301574703,1,0.344523516564438,0.199729722786726,0.0179239101957688,-0.168492031048964,-0.0737768962790087
"Penicillium",0.0896975251518233,0.00767578911036375,0.0335924401976532,0.0117425075644617,0.0438423148899323,0.284029905218091,-0.0056472966376688,0.0455811199625339,-0.0257677725046251,-0.161922635192781,0.0858202766256437,0.0428061016984724,-0.0204441935198526,0.0113874989544432,0.11966132626815,-0.0928242810673509,0.257933177807314,-0.334600477426754,0.344523516564438,1,0.184797449490138,0.319410495505721,-0.0951237632653896,-0.0279396199579488
"Saccharomyces",0.00712108558613088,0.113741197920227,0.0984163727066428,-0.00747640124055763,-0.0177273818745668,0.0248561816860694,0.0939855368890032,0.0524627556902888,0.0702616441835366,-0.0737015471585835,0.0260035699924004,-0.0465514010395239,0.0124035875763622,0.01027942418989,0.046038974818316,0.030880663296469,0.156177222393321,-0.368560867003223,0.199729722786726,0.184797449490138,1,0.136993482203978,-0.0615412936541938,0.0391865222020158
"unidentified",0.105614592799433,0.084073623520612,0.129256077984825,0.0500040418028792,0.157368994643423,0.185486117190495,0.0608353304350547,0.213002408105333,0.192516471266509,0.0172420058459551,0.170008072298221,0.0914420603081433,0.0366699987963836,-0.172856895645225,0.0849245036225097,-0.0507544277082432,0.343110714800741,-0.505562533501073,0.0179239101957688,0.319410495505721,0.136993482203978,1,0.041628658678917,-0.150305026010822
"PIV3",0.0915196032226085,-0.19719812475524,0.0120392115341083,0.0316228684925166,-0.0288808200669574,-0.0215713146935818,0.0490796591850696,0.0832933218717035,0.0504212725410324,-0.144950866177558,-0.157563793912902,-0.285229832882111,-0.0567160242806891,0.0237536206269461,0.00415843344874155,0.0345204929609505,0.0577103550111603,-0.259559953173334,-0.168492031048964,-0.0951237632653896,-0.0615412936541938,0.041628658678917,1,-0.163895543790171
"RV",0.134121303086321,-0.0300515204687451,-0.11245539704902,-0.124010643625498,-0.0791740752155745,-0.173927535949541,-0.0799322494585504,-0.0698662530672399,-0.106965586665856,0.0165492712580994,-0.0839798320105802,-0.0476224131158367,-0.0143089222055905,0.142658206843787,-0.119742083151246,0.0322107350454767,-0.0637891086607927,0.0795725079009904,-0.0737768962790087,-0.0279396199579488,0.0391865222020158,-0.150305026010822,-0.163895543790171,1
